ID Number,Organisation,User Journey1,User Journey2,User Journey3,User Journey4,User Journey5,Organisation Type,Food Cost,Food type,Pathway/means of entry,Elegibility,Location,Time,Email/Website,Telephone number
104,Christian Community of London,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand,Friday 7pm,,
105,FAST58,x,,,,,Homeless organistion,Free,Soup/Sandwiches,,,The Strand (near Rymans) and Waterloo near imax,Thursday 8.45-11pm and 8.50-11pm,,
106,St John Vianney,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Embankment/Temple Station ,Saturday 5.30-6pm ,,
107,Joy of Serving Others (Word of Faith).,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand,Saturday 7.30pm,,
108,Children of Adam,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,Sunday 6pm,,
109,St Vincent de Paul,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,Friday 7.30pm,,
110,St Thomas of Canterbury,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,2nd and last Wednesday of the month 9pm,,
111,Brixton Seventh Day Adventist Church,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"Santley Street, Clapham, London SW4 7QG,  ",Thursday 7pm,,
111,Brixton Seventh Day Adventist Church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,"428 – 434 Lewisham High St, London SE13 6LJ ",Thursday 7pm,,
112,Nightwatch,x,,,,,Homeless organistion,Free,Soup/Sandwiches,,,"Queens Gardens, Croyden",Monday-Sunday 9.30pm,,
113,Arches II (Kids Company),,Under 25,,,,Children and young peoples organistion,Free,Cooked meal and food parcel,,Under 23s only,"1 Kenbury Street, SE5 9BS","Daily 1-2pm and 3.30-4.30pm, food parcels every other Thursday",www.kidsco.org.uk/contact,2072748378
114,Urban Academy (Kids Compnay),x,Under 25,Over 16,,,Children and young peoples organistion,Free,Cooked meal and food parcel,,"Young people, over 16, needing alterative education and/or life skills with complex emotional or behavioural needs.","34 Decima Street, SE1 4QQ","Daily 9-9.30 and 1-2pm, ad hoc food parcels",www.kidsco.org.uk/contact,2074078419
115,Treehouse (Kids Company),,Under 25,Families,,,Children and young peoples organistion,Free,Mixed cooked and cold food,"Referral only through schools, local authority education departments, children’s services and social services","Under 16s only, children/young people  and their families who have suffered traumatic experiences and faced enormous challenges. ","85-87 Fordwych Road, Kilburn, London, NW2 3TL","DAILY 9am, 11am, 1pm, 3.30pm and 5.30pm",www.kidsco.org.uk/contact,2084389519
116,Healthy Start,,Women,Families,,,Government initiative,Free,"Milk, fruit and vegetable",voucher,"Pregnant, children under 4, family income less than £16,000 ",N/A,N/A,,
117,Al Manaar,,Homeless,,,,Mosque,Free,Cooked meal,,Homeless,"244 Acklam Road, London W10 5YG",Every other Friday 7pm,,020 8964 1496
118,Nando's,x,,,,,Restaurant/cafe,Free and low cost,Cooked meal,voucher,Discretion of manager,Various,Daily,,2082465363
119,Rugby- Portobello Trust,,Under 25,,,,Children and young peoples organistion,Free,Mixed cooked and cold food,,"Young people, age 5-25","221 Walmer Road, W11 4EY",Daily,http://www.rugbyportobello.org.uk/,0207 229 2928
120,Streatham united reformed church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,"388 Streatham High Road, SW16 6HX",Monday 7-9pm,,
121,Community food enterprise limited,x,,,,,food enterprise,Low cost,Soup/Sandwiches,,all,Van,Tuesday and Wednesday,,2075119014
122,We Care Foodbank,,Fixed address,,,,food bank,Low cost,Soup/Sandwiches,,all below poverty line in Lewisham and Greenwich (not homeless),"467 Newcross Road, SE14 6TA",Monday-Saturday 11am-2pm,,2072315656
123,Filling the Gap Community Café,x,,,,,Restaurant/cafe,Low cost,Cooked meal,,all,"Samaritan Hall, Perront Road, N15 3AA",Thursday-Friday 11.30am-2pm,,7910271056
124,Clean Break,x,Over 16,Women,,,Theatre company,Free,Cooked meal,sign up to course,women only 18+,"Clean Break, 2 Patshull Road, London,NW5 2LB",N/A,,
125,Throne of grace and mercy,x,Ex service men,,,,Church/Christian organistaion,Free,Cooked meal,,"60+, single mothers & children, ex- servicemen, unemployed","Centre for sports development, Ruthland Walk, London SE6 4LG",Saturday 1.30-3pm,,7931711931
126,Big House,,Ex service men,,,,Hostel/shelter,Free,Mixed cooked and cold food,referral from ex- services,ex- servicemen,"56 Camberwell Road, SE5 0EN",N/A,,2077039613
127,MFC Dragon Café,x,Mental health,,,,Restaurant/cafe,Low cost,Cooked meal,,all,"St George the Martyre, SE1 1JA",Mon 11.30am-8.30pm,http://dragoncafe.co.uk/,
128,Bondway night shelter ,,Homeless,,,,Hostel/shelter,Free,Cooked meal,reffered vauxhall,Homeless,"62 Bondway Road, SW8 1SF",N/A,,
129,YMCA west london,,Homeless,,,,Hostel/shelter,Free,Mixed cooked and cold food,ealing council referral,Homeless,Various,N/A,,  0300 1111 500
130,YMCA orbital community centre,,Over 60,,,,community,Free,Non perishable/food parcel,"refferal by pcso, frontline workers","vulnerable members of community, especially elderly",home delivery,4x / year,,01923 894444
131,Blackfriars settlement,x,Over 60,,,,Social club,Low cost,Cooked meal,,"Thur 50+, Fri -Partially sighted, Sun all","90-94 Great Sulfolk street, SE1 0BE","Thursday and Friday 12pm, Sunday 1pm",,
132,Waterloo Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Waterloo action centre",,"1 Kennington Road, London, SE1 7QP","Tuesday 11am-1pm,Friday 10am-12pm ",,020 7921 4205
133,Westminister Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and cardinal hulme centre 3 arneway street, se1v 2bd",,"Westminster Chapel Buckingham Gate, London, SW1E 6BS","Monday 2-4pm, Thursday 11am-1pm",,020 7834 1731
134,Vauxhall Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Christchurch London, The Matrix Complex, 91 Peterborough Road, London SW6 3BU",Wednesday and Saturday 11.30am-1pm,,08456 448 440/07586258991/02073846486(Christchurch)
135,Camden Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," RCCG City Church, 14 Pratt Mews, London","Tuesday 12-5pm, Sunday 10am-1pm",,2073874551
136,Chalk Farm Food Bank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," Chalk Farm Baptist Church, Berkley Road, London, NW1 8YR ",Saturday 11am-1pm,,0207 483 3763
137,Islington Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Rock Tower, 49 Tufnell Park Road, London, N7 0PS","Monday 4-6pm, ",,
137,Islington Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"3 Aztec Row, Berners Road, Angel Islington N1 0PW ",Saturday 2-5pm ,,
138,Hackney Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"St. Matthias Church, Wordsworth Road, Stoke Newington, N16 8DD","Monday 11am-1:45pm in Hoxton, Thursday 12:00pm-2:15pm in Stoke Newington",,07570 862937
139,Kensington and Chelsea Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"St Luke's Church, Redcliffe Gardens London, SW10 9HF ","Tuesday 12-3pm, Friday 1-4",,0207 052 0336/020 7370 0338
140,Southwark Foodbank (Pecan),x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and One stop shop near peckham library",,"121a Peckham High Street, Peckham SE15 5SE","Tuesday 10am-1pm, Thursday 2-5pm",,020 7732 0007
141,Hammersmith and Fulham Foodbank: and ,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"67 Studridge Street , Fulham , London , SW6 3TD",Tuesday 10.30am-1pm Fridays 2-4.30pm,,020 7751 2248
141,Hammersmith and Fulham Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"St. Simon's Church, Rockley Road, London, W14 0DA (Shepherd's Bush Centre) ",Thursday 1-3pm,,
142,Clapham Park Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"All Nations Baptist Church, The Bonneville Centre, 12 Poynders Road, Clapham Park, SW4 8NY",Tuesday and Friday 11-2,,0208 675 7661 
143,Brent Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Christchurch, (Corner of Christchurch Avenue and Willesden Lane) London,NW6 7YN",Tuesday and Thursday 1-4pm,,07854 585 660
144,Tower Hamlets Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Bethnal Green Mission Church, 305 Cambridge Heath Road, E3 5AT",Friday 10am-1pm,,020 3609 0850
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Salvation Army Poplar, Kerbey Street, London, E14 6AJ ",Friday 11am-2pm,,
145,Haringey Foodbank,,Women,Families,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",Female and family only,"Haringey Play Association, Somerford Grove Community Project, Tottenham N17 0HL",Wednesday 10am-2pm,,0203 441 3617/07557 111 374
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Gospel Centre, Wightman Road, London N8 0LT","Tuesday 6.30pm-9pm, Sunday 11.30am-1pm",,
146,Norwood & Brixton Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Tabinar house, Croydon",,"St Luke's Church, Knights Hill, WEST NORWOOD London, SE27 0HS","Tuesday 10am-1pm, Friday 10m-2pm",,7722121108
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Tabinar house, Croydon",,"St Paul's Church, 184 Ferndale Road, Brixton, SW9 8AH ","St Pauls Tuesday 10.30am-1pm, Saturday 11am-2pm",,
147,Lewisham Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Malham Christian Centre, Malham Road, Forest Hill, SE23 1AN","Wednesday 10am-12pm, Friday 2-4pm",,020 8776 5050
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Tabernacle, Algernon Road, Lewisham, London, SE13 7AT",Tuesday and Thursday 12-2pm,,
148,Newham Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Bonnie Down Community Centre",," St Marks Centre, 218 Tollgate Road, Beckton, London, E6 5YA",Fridays 6.30-8.30pm,,2074743060
149,Greenwich Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Thamesmead: Under Flat One, Kingsley Court, Byron Close, SE28 8AA",Saturday 11am-2pm,,07771 830549
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Woolwhich: 2-4 Commonwealth Building, Woolwich Church Street, SE18 5NS",Wednesday 5-7pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Plumstead: 2-4 Commonwealth Building, Woolwich Church Street, SE18 5NS",Monday 2-4pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Eltham: 542 Westhorne Avenue, SE9 6DH,",Friday 11am-2pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Blackheath: Boys Brigade Hall, Reynolds Place, SE3 8SX",Thursday 10.30am-2.30pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Kidbrooke: OneSpace, Kidbrooke Park Road, London, SE3 9YY",Tuesday 11am-2pm,,
150,Wimbledon Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Wimbledon Guild",," 59 High Path, Wimbledon, SW19 2JY","Monday, Tuesday, Thursday 12-2pm",,020 8544 0126 
151,Colindale Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Novo Centre, The Concourse Graham Park, Colindale, London, NW9 5XB",Thursday 10am-6pm,,020 83584672
152,Barking Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Children's Centre Gascoigne",,"The Communion Centre Unit A2 (Next to Bestselling Cash & Carry) Circular 13 Industrial Estate Gascoigne Road, Barking, IG11 7LT",Wednesday and Friday 7-9pm,,07507 648948
153,Richmond Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," The Vineyard Community Centre, The Vineyard, Richmond TW10 6AQ",Monday and Thursday 12.30-4pm,,0208 9400274
154,Redbridge Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The King's Centre, 14 Granville Road, Ilford IG1 4JY","Monday,Tuesday and Friday 12-1pm, Wednesday 2-5pm, Saturday 12-1pm",,07905 820 537
155,North Enfield Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," Jubilee Church, Unit 5 Martinbridge Trading Estate, Lincoln Road, Enfield, EN1 1SP","Tuesday, Thursday, Saturday 11am-3pm",,020 8804 0990
156,Bexley Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"c/o Avery Hill Christian Fellowship, Southspring, Sidcup, DA15 8EA","Tuesday 1-4pm, Thursday 12-3pm",,7932431350
157,Chipping Barnet Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Salvation Army, Barnet Corps, Albert Road, East Barnet, Barnet EN4 9SH ",Saturday 12-2pm,,07716 890 535
158,Sutton Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," Sutton Salvation Army Church, Benhill Avenue, Sutton, SM1 4DD ",Monday and Friday 12-2pm Wednesday 6.30-8pm,,07525 838 640
159,Kingston Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Kingston United Reformed Church, Eden Street, Kingston Upon Thames, KT1 1HZ",Tuesday and Friday  11:00 - 14:00,,020 8391 1100
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Kings Centre, Coppard Gardens, Chessington, KT9 2GZ",Thursday 10:00 - 12:30,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"New Malden Baptist Church, 1a Westbury Road, KT3 5BE",,,
160,Collier Row Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Ascension Church, 68 Collier Row Road, Romford, RM5 2BA ",Friday 12.30-2.30pm,,"The Ascension Church, 68 Collier Row Road, Romford, RM5 2BA"
161,Dagenham Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",," ""The Beacon"", House of Faith Connections, 104 New Road, Dagenham, RM9 6PE",Saturday 2-4pm,,
162,Harold Hill Food Bank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"153 Hilldene Avenue, RM3 8DL ",Monday-Friday 10.30am-1.30pm,,
163,Hillingdon Food Bank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"St Margaret's, Uxbridge",Monday and Friday 11am-1pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"St Anselm, Hays",Wednesday 12-2pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Emmanuel Church, Northwood",Friday 11am-1pm,,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"The Kingsborough Centre, Uxbridge ",Tuesday 11am-1pm,,
164,Orpington (Bromley) Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"111 Cotmandene Crescent, St Paul's Cray, Orpington, BR5 2RB","Monday, Wednesday Friday 10am-2pm",,
,,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"United Reformed Church, 20 Widmore Road, Bromley, Kent, BR1 1RY ",Tuesday 10am-2pm Thursday 10am-4pm,,
165,RainhamFoodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Mardyke Community Centre, South Street, Rainham, RM13 8PJ ",Monday 6-7.30pm,,
